Fecha,Precio_EUR_MWh,Año
2017-10-21,20.29,2017
2017-10-22,20.98,2017
2017-10-23,22.05,2017
2017-10-24,21.89,2017
2017-10-25,22.03,2017
2017-10-26,22.35,2017
2017-10-27,22.56,2017
2017-10-28,21.12,2017
2017-10-29,21.57,2017
2017-10-30,22.23,2017
2017-10-31,21.85,2017
2017-11-01,20.92,2017
2017-11-02,21.96,2017
2017-11-03,21.36,2017
2017-11-04,19.96,2017
2017-11-05,21.48,2017
2017-11-06,22.48,2017
2017-11-07,21.29,2017
2017-11-08,23.37,2017
2017-11-09,23.58,2017
2017-11-10,23.81,2017
2017-11-11,23.02,2017
2017-11-12,23.28,2017
2017-11-13,24.5,2017
2017-11-14,24.37,2017
2017-11-15,25.45,2017
2017-11-16,25.07,2017
2017-11-17,24.67,2017
2017-11-18,23.18,2017
2017-11-19,23.78,2017
2017-11-20,24.83,2017
2017-11-21,25.15,2017
2017-11-22,24.76,2017
2017-11-23,24.5,2017
2017-11-24,24.66,2017
2017-11-25,24.64,2017
2017-11-26,25.5,2017
2017-11-27,25.45,2017
2017-11-28,25.8,2017
2017-11-29,26.16,2017
2017-11-30,26.32,2017
2017-12-01,26.99,2017
2017-12-02,26.17,2017
2017-12-03,27.0,2017
2017-12-04,28.4,2017
2017-12-05,29.5,2017
2017-12-06,30.15,2017
2017-12-07,28.93,2017
2017-12-08,28.11,2017
2017-12-09,27.37,2017
2017-12-10,27.93,2017
2017-12-11,28.0,2017
2017-12-12,27.36,2017
2017-12-13,28.13,2017
2017-12-14,27.53,2017
2017-12-15,26.81,2017
2017-12-16,26.16,2017
2017-12-17,26.2,2017
2017-12-18,28.5,2017
2017-12-19,27.66,2017
2017-12-20,26.85,2017
2017-12-21,26.85,2017
2017-12-22,26.38,2017
2017-12-23,24.75,2017
2017-12-24,23.51,2017
2017-12-25,22.8,2017
2017-12-26,24.5,2017
2017-12-27,23.27,2017
2017-12-28,22.78,2017
2017-12-29,22.95,2017
2017-12-30,22.02,2017
2017-12-31,22.5,2017
2018-01-01,21.95,2017
2018-01-02,24.5,2018
2018-01-03,23.8,2018
2018-01-04,20.81,2018
2018-01-05,19.53,2018
2018-01-06,20.26,2018
2018-01-07,22.45,2018
2018-01-08,23.57,2018
2018-01-09,23.22,2018
2018-01-10,23.06,2018
2018-01-11,22.8,2018
2018-01-12,22.02,2018
2018-01-13,21.47,2018
2018-01-14,21.37,2018
2018-01-15,22.93,2018
2018-01-16,21.91,2018
2018-01-17,21.37,2018
2018-01-18,20.92,2018
2018-01-19,20.17,2018
2018-01-20,19.51,2018
2018-01-21,19.08,2018
2018-01-22,19.26,2018
2018-01-23,19.07,2018
2018-01-24,18.99,2018
2018-01-25,19.06,2018
2018-01-26,18.94,2018
2018-01-27,18.8,2018
2018-01-28,19.42,2018
2018-01-29,20.69,2018
2018-01-30,19.45,2018
2018-01-31,19.82,2018
2018-02-01,20.84,2018
2018-02-02,21.34,2018
2018-02-03,20.94,2018
2018-02-04,21.6,2018
2018-02-05,23.48,2018
2018-02-06,22.87,2018
2018-02-07,22.68,2018
2018-02-08,22.96,2018
2018-02-09,22.62,2018
2018-02-10,21.08,2018
2018-02-11,21.08,2018
2018-02-12,21.69,2018
2018-02-13,22.01,2018
2018-02-14,20.76,2018
2018-02-15,21.08,2018
2018-02-16,20.84,2018
2018-02-17,19.89,2018
2018-02-18,19.74,2018
2018-02-19,21.4,2018
2018-02-20,20.97,2018
2018-02-21,20.95,2018
2018-02-22,22.75,2018
2018-02-23,23.03,2018
2018-02-24,25.11,2018
2018-02-25,25.28,2018
2018-02-26,27.5,2018
2018-02-27,26.6,2018
2018-02-28,28.01,2018
2018-03-01,33.69,2018
2018-03-02,33.94,2018
2018-03-03,27.54,2018
2018-03-04,27.76,2018
2018-03-05,26.86,2018
2018-03-06,24.01,2018
2018-03-07,23.4,2018
2018-03-08,22.58,2018
2018-03-09,22.38,2018
2018-03-10,22.0,2018
2018-03-11,22.15,2018
2018-03-12,23.2,2018
2018-03-13,25.86,2018
2018-03-14,24.89,2018
2018-03-15,23.68,2018
2018-03-16,23.02,2018
2018-03-17,23.53,2018
2018-03-18,24.32,2018
2018-03-19,26.15,2018
2018-03-20,23.68,2018
2018-03-21,23.19,2018
2018-03-22,23.68,2018
2018-03-23,22.8,2018
2018-03-24,21.46,2018
2018-03-25,20.32,2018
2018-03-26,20.93,2018
2018-03-27,21.34,2018
2018-03-28,21.02,2018
2018-03-29,20.05,2018
